Sample_ID	Date	Site	Weight	Length	DailyAvgTemp	DailyMaxTemp	DailyTempSD	24h_TempChange	72h_TempChange	24h_Stress	72h_Stress	Sample_Period
EB017	2022-07-26	East Branch	11	110	15.5162673611111	17.0733333333333	0.629508558898138	-0.277745370370369	-1.151	0	0	3
EB018	2022-07-26	East Branch	34	155	15.5162673611111	17.0733333333333	0.629508558898138	-0.277745370370369	-1.151	0	0	3
EB019	2022-08-02	East Branch	38	153	15.6282673611111	17.2715	0.739179378461438	0.313746527777777	-1.314	0	0	4
EB020	2022-08-02	East Branch	22	130	15.6282673611111	17.2715	0.739179378461438	0.313746527777777	-1.314	0	0	4
EB021	2022-08-02	East Branch	35	150	15.6282673611111	17.2715	0.739179378461438	0.313746527777777	-1.314	0	0	4
EB022	2022-08-02	East Branch	24	133	15.6282673611111	17.2715	0.739179378461438	0.313746527777777	-1.314	0	0	4
EB023	2022-08-02	East Branch	14	108	15.6282673611111	17.2715	0.739179378461438	0.313746527777777	-1.314	0	0	4
EB024	2022-08-05	East Branch	21	131	15.9096111111111	17.2715	0.653286041411916	0.10853125	-0.344999999999999	0	0	5
EB025	2022-08-05	East Branch	36	155	15.9096111111111	17.2715	0.653286041411916	0.10853125	-0.344999999999999	0	0	5
EB026	2022-08-05	East Branch	28	142	15.9096111111111	17.2715	0.653286041411916	0.10853125	-0.344999999999999	0	0	5
EB027	2022-08-05	East Branch	15	121	15.9096111111111	17.2715	0.653286041411916	0.10853125	-0.344999999999999	0	0	5
EB028	2022-08-05	East Branch	13	114	15.9096111111111	17.2715	0.653286041411916	0.10853125	-0.344999999999999	0	0	5
EB029	2022-08-09	East Branch	27	148	16.9147326388889	18.6285	0.744208440219329	0.276576388888891	0.206	0	0	6
EB030	2022-08-09	East Branch	32	149	16.9147326388889	18.6285	0.744208440219329	0.276576388888891	0.206	0	0	6
EB031	2022-08-09	East Branch	15	118	16.9147326388889	18.6285	0.744208440219329	0.276576388888891	0.206	0	0	6
EB032	2022-08-09	East Branch	27	143	16.9147326388889	18.6285	0.744208440219329	0.276576388888891	0.206	0	0	6
EB033	2022-08-09	East Branch	16	117	16.9147326388889	18.6285	0.744208440219329	0.276576388888891	0.206	0	0	6
EB034	2022-08-12	East Branch	49	175	15.2128576388889	16.973	0.662952135366795	-0.658600694444445	-4.1525	0	0	7
EB035	2022-08-12	East Branch	53	179	15.2128576388889	16.973	0.662952135366795	-0.658600694444445	-4.1525	0	0	7
EB036	2022-08-12	East Branch	28	144	15.2128576388889	16.973	0.662952135366795	-0.658600694444445	-4.1525	0	0	7
EB037	2022-08-12	East Branch	14	113	15.2128576388889	16.973	0.662952135366795	-0.658600694444445	-4.1525	0	0	7
EB038	2022-08-12	East Branch	22	130	15.2128576388889	16.973	0.662952135366795	-0.658600694444445	-4.1525	0	0	7
EB039	2022-08-16	East Branch	20	134	14.6989756944444	16.5445	0.748956507952037	-0.359145833333333	2.013	0	0	8
EB040	2022-08-16	East Branch	40	139	14.6989756944444	16.5445	0.748956507952037	-0.359145833333333	2.013	0	0	8
EB041	2022-08-16	East Branch	34	152	14.6989756944444	16.5445	0.748956507952037	-0.359145833333333	2.013	0	0	8
EB042	2022-08-16	East Branch	58	180	14.6989756944444	16.5445	0.748956507952037	-0.359145833333333	2.013	0	0	8
EB043	2022-08-16	East Branch	46	171	14.6989756944444	16.5445	0.748956507952037	-0.359145833333333	2.013	0	0	8
EB044	2022-08-19	East Branch	28	137	14.6513854166667	16.3425	0.740208149044384	-0.043277777777778	-0.786	0	0	9
EB045	2022-08-19	East Branch	30	141	14.6513854166667	16.3425	0.740208149044384	-0.043277777777778	-0.786	0	0	9
EB046	2022-08-19	East Branch	36	150	14.6513854166667	16.3425	0.740208149044384	-0.043277777777778	-0.786	0	0	9
EB047	2022-08-19	East Branch	12	117	14.6513854166667	16.3425	0.740208149044384	-0.043277777777778	-0.786	0	0	9
EB048	2022-08-19	East Branch	23	130	14.6513854166667	16.3425	0.740208149044384	-0.043277777777778	-0.786	0	0	9
SCA006	2022-07-19	Shaver's Creek	49	174	20.3783482142857	25.355	1.55370465128357	0.810201833275684	0.709000000000003	13	13	1
SCA007	2022-07-19	Shaver's Creek	73	195	20.3783482142857	25.355	1.55370465128357	0.810201833275684	0.709000000000003	13	13	1
SCA009	2022-07-19	Shaver's Creek	58	157	20.3783482142857	25.355	1.55370465128357	0.810201833275684	0.709000000000003	13	13	1
SCA014	2022-07-19	Shaver's Creek	53	174	20.3783482142857	25.355	1.55370465128357	0.810201833275684	0.709000000000003	13	13	1
SCA021	2022-07-19	Shaver's Creek	23	133	20.3783482142857	25.355	1.55370465128357	0.810201833275684	0.709000000000003	13	13	1
SCA022	2022-07-22	Shaver's Creek	27	142	19.782744212963	21.4253333333333	0.737018539435816	0.268044827586209	-0.364000000000001	34	78	2
SCA027	2022-07-22	Shaver's Creek	32	151	19.782744212963	21.4253333333333	0.737018539435816	0.268044827586209	-0.364000000000001	34	78	2
SCA028	2022-07-22	Shaver's Creek	49	176	19.782744212963	21.4253333333333	0.737018539435816	0.268044827586209	-0.364000000000001	34	78	2
SCA033	2022-07-22	Shaver's Creek	92	211	19.782744212963	21.4253333333333	0.737018539435816	0.268044827586209	-0.364000000000001	34	78	2
SCA040	2022-07-26	Shaver's Creek	80	201	18.5893958333333	19.9206666666667	0.602950916124393	-0.721511574074075	-0.764999999999997	11	49	3
SCA041	2022-07-26	Shaver's Creek	46	169	18.5893958333333	19.9206666666667	0.602950916124393	-0.721511574074075	-0.764999999999997	11	49	3
SCA043	2022-07-26	Shaver's Creek	61	191	18.5893958333333	19.9206666666667	0.602950916124393	-0.721511574074075	-0.764999999999997	11	49	3
SCA044	2022-07-26	Shaver's Creek	54	175	18.5893958333333	19.9206666666667	0.602950916124393	-0.721511574074075	-0.764999999999997	11	49	3
SCA045	2022-07-26	Shaver's Creek	32	152	18.5893958333333	19.9206666666667	0.602950916124393	-0.721511574074075	-0.764999999999997	11	49	3
SCA046	2022-08-02	Shaver's Creek	63	181	18.8337303240741	20.4853333333333	0.725127173155212	0.809851851851853	0.775333333333332	0	0	4
SCA048	2022-08-02	Shaver's Creek	28	145	18.8337303240741	20.4853333333333	0.725127173155212	0.809851851851853	0.775333333333332	0	0	4
SCA049	2022-08-02	Shaver's Creek	21	134	18.8337303240741	20.4853333333333	0.725127173155212	0.809851851851853	0.775333333333332	0	0	4
SCA050	2022-08-02	Shaver's Creek	19	126	18.8337303240741	20.4853333333333	0.725127173155212	0.809851851851853	0.775333333333332	0	0	4
SCA051	2022-08-02	Shaver's Creek	18	123	18.8337303240741	20.4853333333333	0.725127173155212	0.809851851851853	0.775333333333332	0	0	4
SCA052	2022-08-05	Shaver's Creek	20	132	19.2747766203704	20.9146666666667	0.704324568346866	0.0701134259259284	0.711999999999996	0	0	5
SCA053	2022-08-05	Shaver's Creek	21	129	19.2747766203704	20.9146666666667	0.704324568346866	0.0701134259259284	0.711999999999996	0	0	5
SCA054	2022-08-05	Shaver's Creek	18	125	19.2747766203704	20.9146666666667	0.704324568346866	0.0701134259259284	0.711999999999996	0	0	5
SCA055	2022-08-05	Shaver's Creek	19	127	19.2747766203704	20.9146666666667	0.704324568346866	0.0701134259259284	0.711999999999996	0	0	5
SCA056	2022-08-05	Shaver's Creek	39	161	19.2747766203704	20.9146666666667	0.704324568346866	0.0701134259259284	0.711999999999996	0	0	5
SCA057	2022-08-09	Shaver's Creek	12	112	20.7255069444444	22.0453333333333	0.584431632686639	0.434142528735631	0.993500000000001	34	60	6
SCA058	2022-08-09	Shaver's Creek	15	114	20.7255069444444	22.0453333333333	0.584431632686639	0.434142528735631	0.993500000000001	34	60	6
SCA059	2022-08-09	Shaver's Creek	52	176	20.7255069444444	22.0453333333333	0.584431632686639	0.434142528735631	0.993500000000001	34	60	6
SCA060	2022-08-09	Shaver's Creek	36	158	20.7255069444444	22.0453333333333	0.584431632686639	0.434142528735631	0.993500000000001	34	60	6
SCA061	2022-08-09	Shaver's Creek	59	181	20.7255069444444	22.0453333333333	0.584431632686639	0.434142528735631	0.993500000000001	34	60	6
SCA062	2022-08-12	Shaver's Creek	24	135	18.2639803240741	19.9053333333333	0.706470203617994	-0.987534722222225	-3.40466666666667	0	55	7
SCA063	2022-08-12	Shaver's Creek	26	139	18.2639803240741	19.9053333333333	0.706470203617994	-0.987534722222225	-3.40466666666667	0	55	7
SCA064	2022-08-12	Shaver's Creek	31	148	18.2639803240741	19.9053333333333	0.706470203617994	-0.987534722222225	-3.40466666666667	0	55	7
SCA065	2022-08-12	Shaver's Creek	19	127	18.2639803240741	19.9053333333333	0.706470203617994	-0.987534722222225	-3.40466666666667	0	55	7
SCA066	2022-08-12	Shaver's Creek	17	123	18.2639803240741	19.9053333333333	0.706470203617994	-0.987534722222225	-3.40466666666667	0	55	7
SCA067	2022-08-16	Shaver's Creek	33	167	16.6834340277778	17.859	0.491154893942954	-0.265009259259259	0.909000000000001	0	0	8
SCA068	2022-08-16	Shaver's Creek	43	165	16.6834340277778	17.859	0.491154893942954	-0.265009259259259	0.909000000000001	0	0	8
SCA069	2022-08-16	Shaver's Creek	57	182	16.6834340277778	17.859	0.491154893942954	-0.265009259259259	0.909000000000001	0	0	8
SCA070	2022-08-16	Shaver's Creek	36	156	16.6834340277778	17.859	0.491154893942954	-0.265009259259259	0.909000000000001	0	0	8
SCA071	2022-08-16	Shaver's Creek	21	129	16.6834340277778	17.859	0.491154893942954	-0.265009259259259	0.909000000000001	0	0	8
SCA072	2022-08-19	Shaver's Creek	59	176	16.9460277777778	18.8816666666667	1.04647176856003	-0.00282291666666623	-0.620000000000001	0	0	9
SCA073	2022-08-19	Shaver's Creek	31	147	16.9460277777778	18.8816666666667	1.04647176856003	-0.00282291666666623	-0.620000000000001	0	0	9
SCA074	2022-08-19	Shaver's Creek	21	135	16.9460277777778	18.8816666666667	1.04647176856003	-0.00282291666666623	-0.620000000000001	0	0	9
SCA075	2022-08-19	Shaver's Creek	25	136	16.9460277777778	18.8816666666667	1.04647176856003	-0.00282291666666623	-0.620000000000001	0	0	9
SS010	2022-07-20	Standing Stone	79	193	17.7861761904762	19.5555	1.63573770404881	1.28016509433962	0.91	0	0	1
SS011	2022-07-20	Standing Stone	21	137	17.7861761904762	19.5555	1.63573770404881	1.28016509433962	0.91	0	0	1
SS012	2022-07-20	Standing Stone	28	132	17.7861761904762	19.5555	1.63573770404881	1.28016509433962	0.91	0	0	1
SS013	2022-07-20	Standing Stone	31	133	17.7861761904762	19.5555	1.63573770404881	1.28016509433962	0.91	0	0	1
SS014	2022-07-20	Standing Stone	57	168	17.7861761904762	19.5555	1.63573770404881	1.28016509433962	0.91	0	0	1
SS020	2022-07-23	Standing Stone	16	119	18.026505787037	21.25	1.84430960043547	-0.0434826388888894	0.539999999999999	0	0	2
SS021	2022-07-23	Standing Stone	16	159	18.026505787037	21.25	1.84430960043547	-0.0434826388888894	0.539999999999999	0	0	2
SS022	2022-07-23	Standing Stone	35	156	18.026505787037	21.25	1.84430960043547	-0.0434826388888894	0.539999999999999	0	0	2
SS023	2022-07-23	Standing Stone	43	131	18.026505787037	21.25	1.84430960043547	-0.0434826388888894	0.539999999999999	0	0	2
SS024	2022-07-23	Standing Stone	23	124	18.026505787037	21.25	1.84430960043547	-0.0434826388888894	0.539999999999999	0	0	2
SS026	2022-07-27	Standing Stone	43	163	16.4055069444444	18.88425	1.08887397416516	-0.655881944444445	-1.531	0	5	3
SS027	2022-07-27	Standing Stone	24	133	16.4055069444444	18.88425	1.08887397416516	-0.655881944444445	-1.531	0	5	3
SS029	2022-07-27	Standing Stone	26	143	16.4055069444444	18.88425	1.08887397416516	-0.655881944444445	-1.531	0	5	3
SS031	2022-07-27	Standing Stone	16	123	16.4055069444444	18.88425	1.08887397416516	-0.655881944444445	-1.531	0	5	3
SS032	2022-07-27	Standing Stone	35	157	16.4055069444444	18.88425	1.08887397416516	-0.655881944444445	-1.531	0	5	3
SS034	2022-08-01	Standing Stone	16	116	16.6575671296296	18.8903333333333	1.35602045281822	-0.499023726851851	-1.845	0	0	4
SS035	2022-08-01	Standing Stone	49	174	16.6575671296296	18.8903333333333	1.35602045281822	-0.499023726851851	-1.845	0	0	4
SS036	2022-08-01	Standing Stone	15	118	16.6575671296296	18.8903333333333	1.35602045281822	-0.499023726851851	-1.845	0	0	4
SS037	2022-08-04	Standing Stone	19	120	17.4460596064815	19.4776666666667	1.02263284205462	0.272098379629629	0.183333333333334	0	0	5
SS039	2022-08-04	Standing Stone	26	140	17.4460596064815	19.4776666666667	1.02263284205462	0.272098379629629	0.183333333333334	0	0	5
SS043	2022-08-04	Standing Stone	45	165	17.4460596064815	19.4776666666667	1.02263284205462	0.272098379629629	0.183333333333334	0	0	5
SS044	2022-08-04	Standing Stone	26	139	17.4460596064815	19.4776666666667	1.02263284205462	0.272098379629629	0.183333333333334	0	0	5
SS045	2022-08-04	Standing Stone	16	118	17.4460596064815	19.4776666666667	1.02263284205462	0.272098379629629	0.183333333333334	0	0	5
SS046	2022-08-08	Standing Stone	61	188	18.5686105324074	20.6673333333333	1.4277189830441	0.271945601851851	0.0680000000000014	0	0	6
SS047	2022-08-08	Standing Stone	74	201	18.5686105324074	20.6673333333333	1.4277189830441	0.271945601851851	0.0680000000000014	0	0	6
SS048	2022-08-08	Standing Stone	60	184	18.5686105324074	20.6673333333333	1.4277189830441	0.271945601851851	0.0680000000000014	0	0	6
SS049	2022-08-08	Standing Stone	27	143	18.5686105324074	20.6673333333333	1.4277189830441	0.271945601851851	0.0680000000000014	0	0	6
SS050	2022-08-08	Standing Stone	15	115	18.5686105324074	20.6673333333333	1.4277189830441	0.271945601851851	0.0680000000000014	0	0	6
SS051	2022-08-11	Standing Stone	53	180	17.8008396990741	19.699	1.15807661013162	-0.922594907407404	-1.94433333333333	0	0	7
SS052	2022-08-11	Standing Stone	16	118	17.8008396990741	19.699	1.15807661013162	-0.922594907407404	-1.94433333333333	0	0	7
SS053	2022-08-11	Standing Stone	39	159	17.8008396990741	19.699	1.15807661013162	-0.922594907407404	-1.94433333333333	0	0	7
SS054	2022-08-11	Standing Stone	36	158	17.8008396990741	19.699	1.15807661013162	-0.922594907407404	-1.94433333333333	0	0	7
SS055	2022-08-15	Standing Stone	19	123	15.4043640046296	16.3675	0.423348135483848	0.0952910879629627	-0.888666666666667	0	0	8
SS056	2022-08-15	Standing Stone	22	134	15.4043640046296	16.3675	0.423348135483848	0.0952910879629627	-0.888666666666667	0	0	8
SS057	2022-08-15	Standing Stone	46	166	15.4043640046296	16.3675	0.423348135483848	0.0952910879629627	-0.888666666666667	0	0	8
SS058	2022-08-15	Standing Stone	20	137	15.4043640046296	16.3675	0.423348135483848	0.0952910879629627	-0.888666666666667	0	0	8
SS059	2022-08-15	Standing Stone	14	114	15.4043640046296	16.3675	0.423348135483848	0.0952910879629627	-0.888666666666667	0	0	8
SS060	2022-08-18	Standing Stone	40	162	15.366056712963	17.605	1.42892397701741	-0.340326388888888	-2.941	0	0	9
SS063	2022-08-18	Standing Stone	29	145	15.366056712963	17.605	1.42892397701741	-0.340326388888888	-2.941	0	0	9
SS064	2022-08-18	Standing Stone	35	154	15.366056712963	17.605	1.42892397701741	-0.340326388888888	-2.941	0	0	9
SS066	2022-08-18	Standing Stone	17	126	15.366056712963	17.605	1.42892397701741	-0.340326388888888	-2.941	0	0	9
